LINK,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=7aa63b911b188c1d,"Senior, Back-end Engineer (Observability...",Coupang 2.9 서울,,"2년 이상 (또는 석사 학위 및 경력 1년 이상) 대규모 서비스 인프라 설계, 구축 및 관리 경험 Java, Golang, 분산 시스템 또는 마이크로서비스 사용 경험 협업 능력자; 복잡한 문제를 빠르게 분석/해결 가능한 인재..."
https://kr.indeed.com/viewjob?jk=68539861ea661845,영상보안 인공지능(AI)/컴퓨터비전[추가],Success Korea 서울 쌍림동,,"Learning) [우대요건] - 병역 특례 신규, 이직 가능 - Golang 개발 경험 - 영상(MPEG), RTSP 관련 지식 - Docker등... 병역 특례 신규, 이직 가능 - Golang 개발 경험 - 영상(MPEG..."
https://kr.indeed.com/viewjob?jk=97d7d9cb5103d9f5,영상보안[백엔드],Success Korea 서울 쌍림동,,"3년 이상 - 개발 환경 : Golang, C++, SQL, Docker... 제출서류]국문이력서 자격요건 - 경력 3년 이상 - 개발 환경 : Golang, C++, SQL, Docker 등 [우대요건] - RTSP 관련..."
https://kr.indeed.com/viewjob?jk=c193b65defa6a4ec,Web 개발,Success Korea 서울 중구,,"Server 경험자 - CMS 관리페이지 구축 경험자 [우대사항] - GoLang 개발 경험자 - 가상화, Docker 기술 경험자 - 네트워크... 경험자 [우대사항] - GoLang 개발 경험자 - 가상화, Docker..."
https://kr.indeed.com/viewjob?jk=1c722d38febc59a8,영상보안 인공지능/컴퓨터비전,Success Korea 서울 쌍림동,,"Learning) [우대요건] - 병역 특례 신규, 이직 가능 - Golang 개발 경험 - 영상(MPEG), RTSP 관련 지식 - Docker등... 병역 특례 신규, 이직 가능 - Golang 개발 경험 - 영상(MPEG..."
https://kr.indeed.com/viewjob?jk=d341b6f32b7ba6f7,영상 보안 코어 연구/개발,Success Korea 서울 쌍림동,,"이상 - 개발 환경 : C++, Golang, ffmpeg - 다양한 라이... 국문이력서 자격요건 - 경력 3년 이상 - 개발 환경 : C++, Golang, ffmpeg - 다양한 라이브러리 활용 경험 - 코어 라이브러리..."
https://kr.indeed.com/viewjob?jk=9e374eae7e16a88f,[XTRM] Senior Server Programmer,PUBG 서울,,"이해 - 한국어로 원활한 의사소통이 가능하신 분 - 해외 여행에 결격 사유가 없으신 분 [우대 사항] - Golang 혹은 C/C++을 활용한 프로덕션 레벨 프로그래밍 경험 - 클라우드 플랫폼(Azure, AWS, GCP..."
https://kr.indeed.com/viewjob?jk=8d4997deddf31083,광고플랫폼 Software Engineer,Success Korea 성남 분당구,,"Scala 등 한 가지 이상 JVM 계열 언어 혹은 C/C++, Golang 등에 숙련되신 분 - 프로파일링으로 성능 튜닝 경험이 많으신 분 - 대용... 계열 언어 혹은 C/C++, Golang 등에 숙련되신 분 - 프로파일링으..."
https://kr.indeed.com/viewjob?jk=7eb854201186e5fe,영상보안 코어 연구개발,Success Korea 서울 충무로역 +1 지역,,"관련 코어 개발 [자격요건] - C/C++3년 이상자 - C/C++, Golang, FFMPEG - 다양한 라이브러리 활용 경험 - 코어 라이브러리... 년 이상자 - C/C++, Golang, FFMPEG - 다양한 라이브러리..."
https://kr.indeed.com/viewjob?jk=65ebb989c5928689,블록체인 기반의 디지털 자산 SNS 스타트업 기업에서 CTO를 모집합니다...,에이치알 코리아 대한민국,,"관리 3. 기술적 관점에서의 사업 점검 4. 개발조직 셋팅 및 관리 * 개발환경 : · 언어 : JAVA, GoLang · 시스템인프라 : AWS 클라우드 지원자격 1. Java (Spring Framework) 또는 다른..."
